upc,brand_descr,actual_manuf,1/1/2011,1/8/2011,1/15/2011,1/22/2011,1/29/2011,2/5/2011,2/12/2011,2/19/2011,2/26/2011,3/5/2011,3/12/2011,3/19/2011,3/26/2011,4/2/2011,4/9/2011,4/16/2011,4/23/2011,4/30/2011,5/7/2011,5/14/2011,5/21/2011,5/28/2011,6/4/2011,6/11/2011,6/18/2011,6/25/2011,7/2/2011,7/9/2011,7/16/2011,7/23/2011,7/30/2011,8/6/2011,8/13/2011,8/20/2011,8/27/2011,9/3/2011,9/10/2011,9/17/2011,9/24/2011,10/1/2011,10/8/2011,10/15/2011,10/22/2011,10/29/2011,11/5/2011,11/12/2011,11/19/2011,11/26/2011,12/3/2011,12/10/2011,12/17/2011,12/24/2011,12/31/2011,1/7/2012,1/14/2012,1/21/2012,1/28/2012,2/4/2012,2/11/2012,2/18/2012,2/25/2012,3/3/2012,3/10/2012,3/17/2012,3/24/2012,3/31/2012,4/7/2012,4/14/2012,4/21/2012,4/28/2012,5/5/2012,5/12/2012,5/19/2012,5/26/2012,6/2/2012,6/9/2012,6/16/2012,6/23/2012,6/30/2012,7/7/2012,7/14/2012,7/21/2012,7/28/2012,8/4/2012,8/11/2012,8/18/2012,8/25/2012,9/1/2012,9/8/2012,9/15/2012,9/22/2012,9/29/2012,10/6/2012,10/13/2012,10/20/2012,10/27/2012,11/3/2012,11/10/2012,11/17/2012,11/24/2012,12/1/2012,12/8/2012,12/15/2012,12/22/2012,12/29/2012,1/5/2013,1/12/2013,1/19/2013,1/26/2013,2/2/2013,2/9/2013,2/16/2013,2/23/2013,3/2/2013,3/9/2013,3/16/2013,3/23/2013,3/30/2013,4/6/2013,4/13/2013,4/20/2013,4/27/2013,5/4/2013,5/11/2013,5/18/2013,5/25/2013,6/1/2013,6/8/2013,6/15/2013,6/22/2013,6/29/2013,7/6/2013,7/13/2013,7/20/2013,7/27/2013,8/3/2013,8/10/2013,8/17/2013,8/24/2013,8/31/2013,9/7/2013,9/14/2013,9/21/2013,9/28/2013,10/5/2013,10/12/2013,10/19/2013,10/26/2013,11/2/2013,11/9/2013,11/16/2013,11/23/2013,11/30/2013,12/7/2013,12/14/2013,12/21/2013,12/28/2013
1600027524,G M WHEATIES,G M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,11,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600027525,G M KIX,G M,4,47,20,8,64,11,41,7,21,6,7,18,4,2,53,4,6,6,6,8,5,7,3,8,31,16,7,4,2,7,56,3,4,38,3,6,32,23,16,35,14,11,6,14,32,5,4,3,23,2,3,5,16,5,3,6,15,3,16,11,9,8,9,10,7,15,6,4,1,6,1,3,1,2,2,8,15,20,5,0,2,2,3,3,0,3,5,0,33,5,1,4,2,1,41,2,33,11,4,7,14,13,10,3,3,12,7,5,6,22,10,5,3,1,3,8,19,4,1,5,7,24,7,5,2,4,2,17,2,5,0,1,1,79,10,4,4,0,10,4,2,0,4,0,0,1,0,2,1,3,0,3,1,2,3,0,0
1600027526,G M CHEERIOS,G M,9,15,11,11,6,10,38,9,8,19,37,9,20,13,68,14,7,7,4,4,11,4,7,72,102,41,23,22,20,20,104,22,97,13,18,14,73,57,28,96,27,19,19,16,63,23,22,14,73,19,11,19,12,15,12,14,76,10,2,1,3,5,3,8,14,46,10,3,3,4,5,4,9,10,3,20,18,51,18,11,13,11,7,12,14,10,4,7,68,10,5,5,9,10,6,7,78,7,8,13,74,14,19,12,11,12,17,10,7,55,32,10,19,16,21,2,6,7,3,9,5,53,11,35,15,7,7,7,36,10,13,11,9,23,6,5,57,7,3,9,7,10,197,29,4,44,26,12,18,26,26,16,10,72,8,6,4
1600027527,G M HONEY NUT CHEERIOS,G M,19,206,72,31,211,28,18,23,108,28,37,113,21,21,16,24,14,68,34,26,23,23,21,29,95,62,26,62,157,98,18,22,25,181,41,185,52,40,88,44,18,122,84,51,24,29,20,26,22,26,27,65,131,40,78,17,14,11,18,28,245,24,23,126,29,13,9,6,20,80,20,3,7,9,31,167,21,10,14,2,8,9,14,18,199,45,14,12,11,132,206,73,42,72,138,23,31,18,14,17,30,11,23,13,6,5,12,5,29,54,37,11,10,53,56,48,32,16,12,30,29,14,11,10,10,18,13,245,21,7,14,116,16,22,8,17,12,18,14,74,12,23,23,11,11,18,8,5,25,9,11,19,13,15,20,13,10
1600027528,G M CHEERIOS,G M,30,41,34,36,16,24,20,31,26,23,25,30,15,26,18,24,25,14,20,18,18,18,20,26,24,36,21,25,24,37,24,12,22,20,31,27,54,22,23,25,24,23,32,22,16,22,22,25,26,34,27,10,21,31,26,28,26,32,22,36,15,39,32,30,33,21,29,22,30,26,44,47,41,24,31,38,39,30,29,31,34,35,44,39,39,30,38,34,67,38,41,34,45,37,36,28,24,41,27,27,36,38,31,38,27,41,28,32,28,31,48,23,46,35,29,33,28,29,42,37,32,33,39,35,32,46,50,35,35,25,36,21,33,34,40,31,34,26,37,35,45,36,28,21,31,43,39,61,36,32,30,39,43,39,37,38,39
1600027529,G M RAISIN NUT BRAN,G M,7,8,8,4,8,5,12,10,8,12,17,6,7,6,6,7,10,6,5,7,3,5,3,4,5,9,3,6,6,1,7,5,3,4,5,5,5,7,7,7,3,5,7,4,9,6,9,3,7,5,6,4,6,6,10,3,3,6,2,3,3,5,7,11,10,9,8,5,6,16,2,3,5,4,4,6,4,7,2,8,4,7,6,3,6,4,4,3,3,2,1,7,1,4,3,6,1,9,2,1,3,6,3,5,6,3,1,5,3,2,3,5,4,6,6,3,2,2,3,1,5,7,7,4,7,1,4,3,7,7,2,6,8,2,5,3,7,5,4,1,4,1,2,4,1,4,1,7,1,5,4,5,1,2,4,7,4
1600027531,G M HONEY NUT CHEX,G M,15,3,10,3,4,15,16,7,29,13,12,13,19,5,7,9,14,7,6,10,13,12,3,32,55,12,12,9,20,12,8,11,8,6,3,6,13,11,21,24,13,10,10,6,4,8,9,16,50,42,20,33,18,11,13,6,27,5,4,3,9,7,7,6,7,9,9,5,6,9,10,2,10,5,12,14,22,27,14,13,12,12,2,0,5,6,9,5,3,11,6,6,5,5,5,4,14,12,10,4,26,24,43,10,13,12,1,9,3,37,13,8,7,4,7,5,8,4,3,11,6,7,7,7,6,8,8,4,7,4,21,4,5,9,6,5,5,3,6,6,6,1,6,3,7,8,1,3,6,2,6,45,39,7,4,39,28
1600027532,G M TRIX,G M,22,130,53,27,95,15,173,17,71,16,20,85,9,6,211,37,8,6,16,15,7,9,10,46,162,66,31,45,45,16,220,27,23,138,19,16,114,50,24,77,30,83,39,14,79,47,38,12,116,38,23,58,108,30,32,24,117,39,77,31,18,20,28,33,23,87,20,22,13,12,13,16,12,13,12,42,88,98,30,32,42,32,8,15,30,20,9,10,88,23,14,20,13,14,85,37,51,23,9,8,71,34,16,14,6,34,45,20,7,67,53,13,14,7,12,25,74,31,22,22,19,83,23,40,16,11,16,17,49,10,22,73,11,21,17,10,132,22,10,10,12,24,154,70,3,138,33,14,6,95,12,15,20,133,21,12,8
1600027533,G M GOLDEN GRAHAMS,G M,36,13,15,9,10,11,16,17,6,2,7,6,5,5,17,20,7,2,8,24,15,3,5,14,8,7,4,5,16,7,6,5,14,9,11,4,15,4,7,6,27,16,6,2,12,10,8,8,8,40,29,9,8,13,13,8,4,4,3,4,3,9,6,12,2,2,10,9,3,5,3,9,10,3,2,6,5,6,2,20,40,31,12,3,8,6,3,5,5,3,5,7,4,8,0,3,2,5,3,3,2,7,11,0,4,75,26,18,8,2,9,8,9,10,11,7,4,2,6,5,5,7,5,7,7,8,8,9,7,25,3,5,7,8,21,8,9,10,7,3,15,9,6,7,2,8,52,3,8,7,14,7,3,9,6,7,9
1600027534,G M LUCKY CHARMS,G M,12,10,13,10,6,4,9,93,6,22,82,28,25,11,8,9,6,45,5,12,4,6,10,188,252,48,10,24,120,80,7,21,207,18,22,104,23,16,48,16,12,116,70,38,34,24,5,5,5,13,10,9,14,8,18,9,14,17,30,27,231,24,25,118,37,10,13,11,17,78,37,32,21,22,34,142,35,15,10,14,16,10,10,30,205,66,19,12,20,125,228,75,76,83,135,25,10,9,11,9,15,15,15,12,10,10,20,19,21,13,16,16,21,59,29,42,146,34,22,22,10,10,7,14,21,12,9,210,28,17,10,11,23,246,13,10,24,11,148,30,11,21,10,10,10,20,14,9,12,150,19,8,7,14,15,13,6
1600027536,G M BASIC 4,G M,2,4,3,2,1,4,3,1,1,2,1,0,1,2,4,3,2,2,2,4,5,2,1,1,2,1,4,1,0,1,1,3,2,2,0,4,3,1,0,2,3,3,4,0,4,4,1,0,0,0,3,0,4,2,2,2,2,1,0,2,2,2,3,5,1,4,4,2,4,3,1,2,2,2,3,5,6,2,1,2,4,2,1,1,3,0,2,1,3,1,1,0,2,0,4,0,4,1,1,3,1,2,0,2,0,4,2,3,3,3,0,2,1,0,5,0,4,2,2,3,4,1,2,1,3,0,1,0,4,3,3,1,3,3,2,4,4,1,2,0,3,5,1,1,1,3,1,1,0,1,1,3,2,2,1,2,2
